"species";"meters_year_50";"meters_year_99"
"Abies balsamea";40;150
"Abies sibirica";40;150
"Abietinella abietina";10;500
"Abutilon theophrasti";1;5
"Acer negundo";40;150
"Acer tataricum";40;150
"Achillea acuminata";0,1;1
"Achillea alpina";0,1;1
"Achillea asiatica";0,1;1
"Achillea impatiens";1;5
"Achillea millefolium";1;5
"Achillea ptarmica";1;5
"Achillea salicifolia";1;5
"Achillea setacea";1;5
"Achnatherum calamagrostis";1;5
"Aconitum baicalense";0,1;1
"Aconitum barbatum";0,1;1
"Aconitum delphiniifolium";0,1;1
"Aconitum kusnezoffii";0,1;1
"Aconitum lycoctonum";1;5
"Aconitum septentrionale";400;1500
"Aconitum villosum";0,1;1
"Aconitum volubile";0,1;1
"Acorus calamus";400;1500
"Actaea cimicifuga";400;1500
"Actaea erythrocarpa";400;1500
"Actaea rubra";400;1500
"Actaea simplex";400;1500
"Actaea spicata";400;1500
"Adenophora lamarckii";0,1;1
"Adenophora liliifolia";1;5
"Adenophora stenanthina";0,1;1
"Adenophora sublata";0,1;1
"Adenophora tricuspidata";1;5
"Adiantum pedatum";2;15
"Adonis sibirica";1;5
"Adonis vernalis";0,1;1
"Adoxa moschatellina";400;1500
"Aegopodium alpestre";1;5
"Aegopodium podagraria";1;5
"Agoseris glauca";10;500
"Agrimonia eupatoria";400;1500
"Agrimonia pilosa";400;1500
"Agropyron cristatum";400;1500
"Agrostemma githago";1;5
"Agrostis anadyrensis";1;5
"Agrostis canina";1;5
"Agrostis capillaris";1;5
"Agrostis clavata";1;5
"Agrostis exarata";1;5
"Agrostis gigantea";1;5
"Agrostis hyemalis";1;5
"Agrostis mertensii";0,1;1
"Agrostis scabra";40;150
"Agrostis stolonifera";1;5
"Agrostis vinealis";1;5
"Ajuga pyramidalis";2;15
"Ajuga reptans";2;15
"Alchemilla alpina";0,1;1
"Alchemilla glabra";0,1;1
"Alchemilla glaucescens";0,1;1
"Alchemilla glomerulans";0,1;1
"Alchemilla heptagona";0,1;1
"Alchemilla micans";0,1;1
"Alchemilla monticola";0,1;1
"Alchemilla sarmatica";0,1;1
"Alchemilla subcrenata";1;5
"Alchemilla vulgaris";1;5
"Alfredia cernua";10;500
"Alisma plantago-aquatica";1;5
"Alisma wahlenbergii";1;5
"Alkekengi officinarum";10;500
"Alleniella besseri";2;15
"Alleniella complanata";2;15
"Alliaria petiolata";1;5
"Allium altaicum";1;5
"Allium angulosum";1;5
"Allium lineare";1;5
"Allium maximowiczii";1;5
"Allium microdictyon";1;5
"Allium nutans";1;5
"Allium obliquum";1;5
"Allium ochotense";0,1;1
"Allium prostratum";1;5
"Allium ramosum";0,1;1
"Allium rotundum";1;5
"Allium rubens";1;5
"Allium schoenoprasum";1;5
"Allium senescens";0,1;1
"Allium spurium";0,1;1
"Allium stellerianum";0,1;1
"Allium strictum";1;5
"Allium tenuissimum";0,1;1
"Allium victorialis";2;15
"Alnus alnobetula";40;150
"Alnus glutinosa";400;1500
"Alnus hirsuta";400;1500
"Alnus incana";400;1500
"Aloina brevirostris";10;500
"Aloina rigida";10;500
"Alopecurus aequalis";0,1;1
"Alopecurus arundinaceus";0,1;1
"Alopecurus geniculatus";1;5
"Alopecurus magellanicus";1;5
"Alopecurus pratensis";1;5
"Althaea officinalis";1;5
"Alyssum lenense";0,1;1
"Alyssum turkestanicum";0,1;1
"Amaranthus albus";1;5
"Amaranthus retroflexus";1;5
"Amblyodon dealbatus";10;500
"Amblystegium serpens";2;15
"Amblystegium varium";2;15
"Ambrosia artemisiifolia";10;500
"Ambrosia trifida";10;500
"Amelanchier alnifolia";400;1500
"Amelanchier bartramiana";400;1500
"Amelanchier humilis";400;1500
"Amethystea caerulea";0,1;1
"Amphidium lapponicum";2;15
"Amphidium mougeotii";2;15
"Amsinckia menziesii";1;5
"Anaphalis margaritacea";10;500
"Anastrepta orcadensis";10;500
"Anastrophyllum assimile";2;15
"Anastrophyllum donnianum";10;500
"Anastrophyllum michauxii";2;15
"Anastrophyllum sphenoloboides";10;500
"Andreaea alpestris";10;500
"Andreaea alpina";10;500
"Andreaea blyttii";10;500
"Andreaea crassinervia";10;500
"Andreaea nivalis";10;500
"Andreaea obovata";10;500
"Andreaea rupestris";10;500
"Andromeda polifolia";0,1;1
"Androsace beringensis";0,1;1
"Androsace chamaejasme";0,1;1
"Androsace filiformis";0,1;1
"Androsace gmelinii";0,1;1
"Androsace maxima";0,1;1
"Androsace ochotensis";0,1;1
"Androsace septentrionalis";0,1;1
"Anemonastrum canadense";2;15
"Anemonastrum richardsonii";2;15
"Anemone amurensis";2;15
"Anemone dahurica";2;15
"Anemone multiceps";2;15
"Anemone multifida";2;15
"Anemone nemorosa";2;15
"Anemone parviflora";2;15
"Anemone ranunculoides";2;15
"Anemone reflexa";2;15
"Anemone sylvestris";10;500
"Anethum graveolens";1;5
"Aneura pinguis";10;500
"Angelica archangelica";1;5
"Angelica atropurpurea";1;5
"Angelica dahurica";1;5
"Angelica decurrens";0,1;1
"Angelica gmelinii";1;5
"Angelica lucida";0,1;1
"Angelica sylvestris";1;5
"Anoectangium aestivum";2;15
"Anomobryum julaceum";10;500
"Anomodon longifolius";2;15
"Anomodon rugelii";2;15
"Anomodon viticulosus";2;15
"Anoplocaryum helenae";1;5
"Antennaria alpina";10;500
"Antennaria dioica";10;500
"Antennaria friesiana";10;500
"Antennaria lanata";10;500
"Antennaria microphylla";10;500
"Antennaria monocephala";10;500
"Antennaria pulcherrima";10;500
"Antennaria rosea";10;500
"Anthelia julacea";10;500
"Anthelia juratzkana";10;500
"Anthoxanthum arcticum";1;5
"Anthoxanthum monticola";1;5
"Anthoxanthum nipponicum";0,1;1
"Anthoxanthum nitens";1;5
"Anthoxanthum odoratum";1;5
"Anthriscus sylvestris";1;5
"Anthyllis vulneraria";0,1;1
"Anticlea elegans";0,1;1
"Anticlea sibirica";0,1;1
"Antitrichia californica";2;15
"Antitrichia curtipendula";2;15
"Aongstroemia longipes";10;500
"Apera spica-venti";1;5
"Aplodon wormskioldii";10;500
"Apocynum androsaemifolium";2;15
"Apocynum sibiricum";10;500
"Apopellia endiviifolia";10;500
"Apotreubia hortoniae";10;500
"Aquilegia brevistyla";1;5
"Aquilegia flabellata";1;5
"Aquilegia formosa";0,1;1
"Aquilegia glandulosa";1;5
"Aquilegia oxysepala";1;5
"Aquilegia parviflora";1;5
"Aquilegia sibirica";1;5
"Aquilegia vulgaris";1;5
"Arabidopsis arenicola";1;5
"Arabidopsis arenosa";0,1;1
"Arabidopsis kamchatica";0,1;1
"Arabis alpina";0,1;1
"Arabis borealis";0,1;1
"Arabis eschscholtziana";0,1;1
"Arabis hirsuta";1;5
"Arabis planisiliqua";1;5
"Arabis pycnocarpa";0,1;1
"Arabis sagittata";1;5
"Arabis stelleri";1;5
"Aralia nudicaulis";400;1500
"Arctagrostis latifolia";400;1500
"Arctanthemum arcticum";1;5
"Arctanthemum integrifolium";1;5
"Arctium lappa";400;1500
"Arctium minus";400;1500
"Arctium tomentosum";400;1500
"Arctoa anderssonii";10;500
"Arctoa fulvella";10;500
"Arctoa hyperborea";10;500
"Arctophila fulva";400;1500
"Arctopoa eminens";1;5
"Arctopoa subfastigiata";0,1;1
"Arctopoa trautvetteri";1;5
"Arctostaphylos alpinus";400;1500
"Arctostaphylos rubra";400;1500
"Arctostaphylos uva-ursi";400;1500
"Arenaria humifusa";0,1;1
"Arenaria norvegica";0,1;1
"Arenaria pseudofrigida";0,1;1
"Arenaria serpyllifolia";0,1;1
"Armeria maritima";0,1;1
"Armeria scabra";0,1;1
"Armoracia rusticana";1;5
"Armoracia sisymbrioides";0,1;1
"Arnellia fennica";2;15
"Arnica angustifolia";10;500
"Arnica chamissonis";2;15
"Arnica griscomii";10;500
"Arnica lessingii";10;500
"Arnica lonchophylla";2;15
"Arnica unalaschcensis";10;500
"Arrhenatherum elatius";1;5
"Artemisia abrotanum";1;5
"Artemisia absinthium";1;5
"Artemisia annua";1;5
"Artemisia arctica";1;5
"Artemisia arctisibirica";1;5
"Artemisia armeniaca";1;5
"Artemisia austriaca";1;5
"Artemisia biennis";1;5
"Artemisia borealis";0,1;1
"Artemisia campestris";1;5
"Artemisia dracunculus";1;5
